#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-05T08:57:08 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-05T08:57:08	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/219/4/table7&-out.all&-out.max=99999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_219_4_table7:
#Name: J/ApJS/219/4/table7
#Title: *Parameters of final multicomponent decompositions
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[1/2352] Running sequence number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id]
#Column	Mod	(a8)	Type of final decomposition model (1)	[ucd=meta.note]
#Column	Nc	(I1)	[1/4] Number of components in the model (1-4)	[ucd=meta.number]
#Column	Q	(I1)	[3/5] Quality flag, 5=most reliable (2)	[ucd=meta.code.qual]
#Column	C	(a7)	Phsical interpretation of the component (1)	[ucd=meta.id;stat.fit]
#Column	Fn	(A8)	The GALFIT function used for the component (sersic, edgedisk, expdisk, ferrer2 or psf)	[ucd=meta.id;stat.fit]
#Column	f1	(F6.3)	[0.006/1]? "sersic" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag1	(F6.3)	[7/19.4]? "sersic" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q1	(F6.3)	[0.1/1]? "sersic" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA1	(F6.2)	[0.08/180]? "sersic" position angle (3)	[ucd=pos.posAng]
#Column	Re	(F6.2)	[0.004/430]? "sersic" effective radius (R_e_)	[ucd=phys.angSize]
#Column	n	(F6.3)	[0.01/20]? "sersic" parameter n	[ucd=stat.fit.param]
#Column	f2	(F6.3)	[0.02/1]? "edgedisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu02	(F6.3)	[11.8/24.6]? "edgedisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	PA2	(F6.2)	[-90/90]? "edgedisk" PA	[ucd=pos.posAng]
#Column	hr2	(F6.2)	[1/153]? "edgedisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	hz2	(F5.2)	[0.003/39]? "edgedisk" z-scale h_z_	[ucd=stat.fit.param]
#Column	f3	(F6.3)	[0.02/1]? "expdisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag3	(F6.3)	[6.5/18.1]? "expdisk" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q3	(F6.3)	[0.1/1]? "expdisk" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA3	(F6.2)	[-90/90]? "expdisk" position angle (3)	[ucd=pos.posAng]
#Column	hr3	(F6.2)	[0.7/332]? "expdisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	mu03	(F6.3)	[16.4/25.3]? "expdisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	f4	(F6.3)	[0.003/0.6]? "ferrer2" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu04	(F6.3)	[16/24.8]? "ferrer2" central surface sky brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	q4	(F6.3)	[0.01/1]? "ferrer2" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA4	(F6.2)	[-90/90]? "ferrer2" position angle (3)	[ucd=pos.posAng]
#Column	Rbar	(F6.2)	[3.7/232.5]? "ferrer2" outer truncation radius of the bar (R_bar_)	[ucd=phys.size.radius]
#Column	f5	(F6.3)	[0.001/0.4]? "psf" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag5	(F6.3)	[11.5/21.1]? "psf" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
recno	Seq	Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	PA1	Re	n	f2	mu02	PA2	hr2	hz2	f3	mag3	q3	PA3	hr3	mu03	f4	mu04	q4	PA4	Rbar	f5	mag5
     268	 152	ESO441-017	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.058	20.482	 0.287	 18.77	 13.04	      	
     269	 153	ESO442-013	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.961	13.402	 0.376	-11.19	 23.84	22.284	      	      	      	      	      	      	
     270	 153	ESO442-013	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.039	22.034	 0.217	 16.03	 22.41	      	
     271	 154	ESO443-021	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.972	18.587	-19.16	 14.19	 2.72	      	      	      	      	      	      	      	      	      	      	      	      	
     272	 154	ESO443-021	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.028	16.497
     273	 155	ESO443-042	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.914	19.288	-52.30	 22.74	 4.84	      	      	      	      	      	      	      	      	      	      	      	      	
     274	 155	ESO443-042	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.086	14.751
     275	 156	ESO443-069	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.939	12.523	 0.901	-55.63	 20.90	21.119	      	      	      	      	      	      	
     276	 156	ESO443-069	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.061	20.075	 0.215	 -3.05	 17.31	      	
     277	 157	ESO443-079	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.285	 0.292	 -3.85	 14.44	23.077	      	      	      	      	      	      	
     278	 158	ESO443-080	_dbar   	2	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.849	14.387	 0.709	-27.20	 16.35	22.450	      	      	      	      	      	      	
     279	 158	ESO443-080	_dbar   	2	3	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.151	22.054	 0.804	-41.93	 15.63	      	
     280	 159	ESO443-085	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.972	13.950	 0.530	 56.76	 17.03	22.102	      	      	      	      	      	      	
     281	 159	ESO443-085	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.028	22.000	 0.088	 44.67	 22.50	      	
     282	 160	ESO444-033	_bdbar  	3	5	B      	sersic  	 0.086	17.291	 0.486	 79.66	  5.89	 0.618	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     283	 160	ESO444-033	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.795	14.867	 0.276	 85.21	 16.40	22.937	      	      	      	      	      	      	
     284	 160	ESO444-033	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.120	22.821	 0.171	 81.73	 35.69	      	
     285	 161	ESO444-037	_dn     	2	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.986	15.280	 0.484	-57.46	 16.25	23.330	      	      	      	      	      	      	
     286	 161	ESO444-037	_dn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.014	19.918
     287	 162	ESO444-078	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.803	 0.521	 29.25	 22.87	23.595	      	      	      	      	      	      	
     288	 163	ESO445-089	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.931	12.583	 0.836	-62.54	 22.14	21.304	      	      	      	      	      	      	
     289	 163	ESO445-089	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.067	20.782	 0.456	-45.41	 16.84	      	
     290	 163	ESO445-089	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.003	18.900
     291	 164	ESO462-031	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.700	14.049	 0.412	  5.61	  9.82	21.004	      	      	      	      	      	      	
     292	 164	ESO462-031	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.300	18.445	 0.212	 -9.40	 10.50	      	
     293	 165	ESO466-014	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	18.819	 49.12	  8.41	 1.70	      	      	      	      	      	      	      	      	      	      	      	      	
     294	 166	ESO466-036	_b      	1	5	B      	sersic  	 1.000	13.413	 0.499	120.93	 12.32	 3.686	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     295	 167	ESO467-051	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.634	22.928	-81.11	 29.63	 8.05	      	      	      	      	      	      	      	      	      	      	      	      	
     296	 167	ESO467-051	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.366	21.836	-61.52	 24.42	 2.69	      	      	      	      	      	      	      	      	      	      	      	      	
     297	 168	ESO469-008	_dd     	2	5	D      	sersic  	 0.027	19.362	 0.766	127.90	  6.14	 0.493	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     298	 168	ESO469-008	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.973	15.442	 0.322	 49.24	 21.97	24.146	      	      	      	      	      	      	
     299	 169	ESO469-015	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.306	20.966	-32.88	  8.77	 5.32	      	      	      	      	      	      	      	      	      	      	      	      	
     300	 169	ESO469-015	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.694	18.035	-23.39	  7.90	 1.20	      	      	      	      	      	      	      	      	      	      	      	      	
     301	 170	ESO471-006	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.796	 0.316	 46.22	 35.97	23.571	      	      	      	      	      	      	
     302	 171	ESO476-010	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.128	 0.290	 25.32	 16.36	23.192	      	      	      	      	      	      	
     303	 172	ESO477-016	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.962	18.986	-25.67	  6.68	 2.13	      	      	      	      	      	      	      	      	      	      	      	      	
     304	 172	ESO477-016	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.038	17.606
     305	 173	ESO479-004	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.972	12.516	 0.544	 56.08	 19.79	20.994	      	      	      	      	      	      	
     306	 173	ESO479-004	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.028	20.598	 0.327	 33.18	 12.00	      	
     307	 174	ESO479-025	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.544	 0.262	 51.60	 10.72	20.691	      	      	      	      	      	      	
     308	 176	ESO480-025	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.804	 0.584	-83.10	 19.38	23.237	      	      	      	      	      	      	
     309	 177	ESO481-014	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.878	14.181	 0.222	-14.86	 37.32	24.036	      	      	      	      	      	      	
     310	 177	ESO481-014	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.122	23.893	 0.408	-14.08	 49.64	      	
     311	 178	ESO481-018	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.940	12.982	 0.350	 42.60	 23.08	21.794	      	      	      	      	      	      	
     312	 178	ESO481-018	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.055	21.698	 0.243	 47.10	 26.65	      	
     313	 178	ESO481-018	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.004	18.842
     314	 179	ESO481-030	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.980	22.004	 49.73	 13.25	 4.01	      	      	      	      	      	      	      	      	      	      	      	      	
     315	 179	ESO481-030	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.020	19.926
     316	 180	ESO482-005	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.778	15.320	 0.205	 79.85	 23.61	24.182	      	      	      	      	      	      	
     317	 180	ESO482-005	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.222	22.368	 0.383	 84.41	 21.36	      	
     318	 181	ESO482-011	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.187	 0.345	 61.55	 11.70	21.523	      	      	      	      	      	      	
     319	 182	ESO482-013	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.960	 0.456	 52.86	  7.11	21.216	      	      	      	      	      	      	
     320	 183	ESO482-035	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.935	12.834	 0.634	  0.74	 19.06	21.231	      	      	      	      	      	      	
     321	 183	ESO482-035	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.065	20.638	 0.271	 31.87	 18.00	      	
     322	 184	ESO482-046	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	20.421	 69.80	 23.67	 5.74	      	      	      	      	      	      	      	      	      	      	      	      	
     323	 185	ESO483-008	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.960	16.262	 0.426	 46.02	  9.24	23.086	      	      	      	      	      	      	
     324	 185	ESO483-008	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.040	24.638	 0.547	 10.32	 12.75	      	
     325	 186	ESO483-013	_b      	1	5	B      	sersic  	 1.000	13.264	 0.681	132.20	 27.54	 2.432	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     326	 187	ESO485-021	_dnbar  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.003	19.569
     327	 187	ESO485-021	_dnbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.932	13.155	 0.984	-55.17	 33.64	22.784	      	      	      	      	      	      	
     328	 187	ESO485-021	_dnbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.065	22.659	 0.297	-68.88	 36.65	      	
     329	 188	ESO486-003	_dd     	2	5	D      	sersic  	 0.226	16.867	 0.614	 50.82	 13.94	 0.995	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     330	 188	ESO486-003	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.773	15.464	 0.421	 36.78	 24.56	24.410	      	      	      	      	      	      	
     331	 189	ESO486-021	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.344	 0.762	-72.76	  8.27	20.928	      	      	      	      	      	      	
     332	 190	ESO501-079	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.674	 0.806	 43.97	 22.26	22.408	      	      	      	      	      	      	
     333	 191	ESO501-080	_bz     	2	4	B      	sersic  	 0.825	13.742	 0.306	105.61	 45.79	 1.429	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     334	 191	ESO501-080	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.175	21.632	-74.51	 15.10	 3.19	      	      	      	      	      	      	      	      	      	      	      	      	
     335	 192	ESO502-016	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.983	14.135	 0.343	 79.52	 18.21	22.431	      	      	      	      	      	      	
     336	 192	ESO502-016	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.017	22.881	 0.348	 50.60	 12.00	      	
     337	 193	ESO502-020	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.042	17.204	 0.840	 57.48	  1.98	20.682	      	      	      	      	      	      	
     338	 193	ESO502-020	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.958	13.791	 0.840	 57.48	 12.30	21.236	      	      	      	      	      	      	
     339	 194	ESO502-023	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.541	 0.464	 71.15	 12.78	23.068	      	      	      	      	      	      	
     340	 195	ESO503-022	_dd     	2	5	D      	sersic  	 0.316	15.372	 0.298	125.05	 22.91	 0.492	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     341	 195	ESO503-022	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.684	14.532	 0.520	-61.75	 15.09	22.421	      	      	      	      	      	      	
     342	 196	ESO504-010	_dbarfn 	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.950	15.874	 0.383	 15.40	 11.90	23.247	      	      	      	      	      	      	
     343	 196	ESO504-010	_dbarfn 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.038	23.031	 0.282	 57.27	  9.75	      	
     344	 196	ESO504-010	_dbarfn 	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.012	20.657
     345	 197	ESO504-024	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.132	 0.763	-25.65	 12.04	22.531	      	      	      	      	      	      	
     346	 198	ESO504-028	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.998	13.374	 0.857	 68.22	 15.85	21.370	      	      	      	      	      	      	
     347	 198	ESO504-028	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.002	20.209
     348	 199	ESO505-002	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.914	 0.740	 75.84	 18.47	22.242	      	      	      	      	      	      	
     349	 200	ESO505-003	_dz     	2	4	Z      	sersic  	 0.745	13.591	 0.146	131.26	 59.66	 0.464	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     350	 200	ESO505-003	_dz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.255	19.870	-49.81	  9.52	 1.86	      	      	      	      	      	      	      	      	      	      	      	      	
     351	 201	ESO505-008	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.468	 0.341	 11.98	  9.78	21.416	      	      	      	      	      	      	
     352	 202	ESO505-009	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.415	 0.367	 78.21	 17.51	22.627	      	      	      	      	      	      	
     353	 203	ESO505-013	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.924	12.815	 0.646	 37.43	 41.57	22.905	      	      	      	      	      	      	
     354	 203	ESO505-013	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.073	22.504	 0.344	-21.06	 38.22	      	
     355	 203	ESO505-013	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.003	19.019
     356	 204	ESO505-023	_zbar   	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.948	22.695	 42.18	 16.84	 7.68	      	      	      	      	      	      	      	      	      	      	      	      	
     357	 204	ESO505-023	_zbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.052	22.250	 0.990	 23.22	  5.34	      	
     358	 205	ESO506-018	_z      	1	5	Z      	edgedisk	      	      	      	      	      	      	 1.000	21.145	 10.33	  7.96	 1.60	      	      	      	      	      	      	      	      	      	      	      	      	
     359	 206	ESO506-029	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.965	13.886	 0.638	 18.09	 27.51	23.079	      	      	      	      	      	      	
     360	 206	ESO506-029	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.035	22.154	 0.408	-35.31	 12.66	      	
     361	 207	ESO506-033	_zzn    	3	5	Z      	edgedisk	      	      	      	      	      	      	 0.557	15.915	 -2.35	  3.27	 1.20	      	      	      	      	      	      	      	      	      	      	      	      	
     362	 207	ESO506-033	_zzn    	3	5	Z      	edgedisk	      	      	      	      	      	      	 0.374	19.964	 -1.76	 15.74	 9.32	      	      	      	      	      	      	      	      	      	      	      	      	
     363	 207	ESO506-033	_zzn    	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.068	14.716
     364	 208	ESO507-065	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.464	 0.431	 16.01	 14.26	23.230	      	      	      	      	      	      	
     365	 209	ESO508-007	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.956	14.738	 0.525	 77.89	 17.58	22.957	      	      	      	      	      	      	
     366	 209	ESO508-007	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.044	22.254	 0.290	-79.78	 12.24	      	
     367	 210	ESO508-011	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.219	 0.164	-85.20	 26.36	22.319	      	      	      	      	      	      	
     368	 211	ESO508-015	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.449	 0.664	-68.57	 19.25	22.867	      	      	      	      	      	      	
     369	 212	ESO508-019	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.959	13.616	 0.411	 39.07	 16.32	21.676	      	      	      	      	      	      	
     370	 212	ESO508-019	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.041	21.009	 0.204	 66.17	 13.50	      	
     371	 213	ESO508-024	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.951	12.638	 0.853	 81.58	 23.19	21.460	      	      	      	      	      	      	
     372	 213	ESO508-024	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.049	19.418	 0.419	 58.23	  7.76	      	
     373	 214	ESO508-030	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.179	 0.219	-44.37	 30.82	24.619	      	      	      	      	      	      	
     374	 215	ESO508-034	_dd     	2	5	D      	sersic  	 0.120	16.734	 0.725	 32.33	  6.25	 0.576	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     375	 215	ESO508-034	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.880	14.562	 0.458	-46.34	 13.45	22.200	      	      	      	      	      	      	
     376	 216	ESO508-051	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.240	 0.482	 54.84	 16.57	22.331	      	      	      	      	      	      	
     377	 217	ESO509-026	_bdbar  	3	4	B      	sersic  	 0.232	15.550	 0.900	163.57	  0.45	14.392	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     378	 217	ESO509-026	_bdbar  	3	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.446	14.972	 0.902	-88.10	  8.46	21.603	      	      	      	      	      	      	
     379	 217	ESO509-026	_bdbar  	3	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.322	20.009	 0.317	  1.90	 14.76	      	
     380	 218	ESO509-074	_bz     	2	5	B      	sersic  	 0.295	13.289	 0.174	137.32	 15.38	 6.075	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
     381	 218	ESO509-074	_bz     	2	5	Z      	edgedisk	      	      	      	      	      	      	 0.705	19.282	-41.67	 15.63	 5.90	      	      	      	      	      	      	      	      	      	      	      	      	
     382	 219	ESO510-026	_d      	1	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.596	 0.865	-41.15	 19.19	23.007	      	      	      	      	      	      	
     383	 220	ESO510-058	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.956	12.829	 0.666	 -3.80	 10.80	19.991	      	      	      	      	      	      	
     384	 220	ESO510-058	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.044	18.997	 0.477	 40.26	  5.16	      	
     385	 221	ESO510-059	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.898	13.224	 0.629	 80.86	 27.76	22.436	      	      	      	      	      	      	
     386	 221	ESO510-059	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.102	20.312	 0.184	-63.46	 19.97	      	
     387	 222	ESO532-014	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.967	 0.437	-74.69	 11.94	22.347	      	      	      	      	      	      	
     388	 223	ESO532-022	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.959	14.152	 0.671	-43.84	 17.99	22.423	      	      	      	      	      	      	
